date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:13:15	4/4	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Mon,%2013%20Dec%202021%2021:13:14%20GMT	https://boss-bull-club.vercel.app/assets/SeoulNamsan-CEB.ttfd41d.eot?	C:/Users/kikou/Desktop/nft%20mint%20solana/rabiti/boss-bull-club.vercel.app/assets/SeoulNamsan-CEB.ttfd41dd41d.eot	(from https://boss-bull-club.vercel.app/assets/style.css)
23:13:15	4/4	---M--	200	added ('OK')	image/jpeg	date:Mon,%2013%20Dec%202021%2021:13:15%20GMT	https://boss-bull-club.vercel.app/img/background.jpg	C:/Users/kikou/Desktop/nft%20mint%20solana/rabiti/boss-bull-club.vercel.app/img/background.jpg	(from https://boss-bull-club.vercel.app/assets/style.css)
23:13:15	3620/3620	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2013%20Dec%202021%2021:13:15%20GMT	https://boss-bull-club.vercel.app/abs.twimg.com/responsive-web/client-web-legacy/polyfills.3f6f7645.js	C:/Users/kikou/Desktop/nft%20mint%20solana/rabiti/boss-bull-club.vercel.app/abs.twimg.com/responsive-web/client-web-legacy/polyfills.3f6f7645.js	(from https://boss-bull-club.vercel.app/BossBullsClub.html)
23:13:16	3620/3620	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2013%20Dec%202021%2021:13:15%20GMT	https://boss-bull-club.vercel.app/abs.twimg.com/responsive-web/client-web-legacy/vendors_main.45d1eee5.js	C:/Users/kikou/Desktop/nft%20mint%20solana/rabiti/boss-bull-club.vercel.app/abs.twimg.com/responsive-web/client-web-legacy/vendors_main.45d1eee5.js	(from https://boss-bull-club.vercel.app/BossBullsClub.html)
23:13:16	3620/3620	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2013%20Dec%202021%2021:13:16%20GMT	https://boss-bull-club.vercel.app/abs.twimg.com/responsive-web/client-web-legacy/i18n/en.b9ae1165.js	C:/Users/kikou/Desktop/nft%20mint%20solana/rabiti/boss-bull-club.vercel.app/abs.twimg.com/responsive-web/client-web-legacy/i18n/en.b9ae1165.js	(from https://boss-bull-club.vercel.app/BossBullsClub.html)
23:13:16	3620/3620	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2013%20Dec%202021%2021:13:16%20GMT	https://boss-bull-club.vercel.app/abs.twimg.com/responsive-web/client-web-legacy/main.eb426635.js	C:/Users/kikou/Desktop/nft%20mint%20solana/rabiti/boss-bull-club.vercel.app/abs.twimg.com/responsive-web/client-web-legacy/main.eb426635.js	(from https://boss-bull-club.vercel.app/BossBullsClub.html)
23:13:17	4/4	---M--	200	added ('OK')	application/json	date:Mon,%2013%20Dec%202021%2021:13:16%20GMT	https://boss-bull-club.vercel.app/manifest.json	C:/Users/kikou/Desktop/nft%20mint%20solana/rabiti/boss-bull-club.vercel.app/manifest.json	(from https://boss-bull-club.vercel.app/BossBullsClub.html)
23:13:17	4/4	---M--	200	added ('OK')	application/xml	date:Mon,%2013%20Dec%202021%2021:13:17%20GMT	https://boss-bull-club.vercel.app/opensearch.xml	C:/Users/kikou/Desktop/nft%20mint%20solana/rabiti/boss-bull-club.vercel.app/opensearch.xml	(from https://boss-bull-club.vercel.app/BossBullsClub.html)
23:13:17	3620/3620	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2013%20Dec%202021%2021:13:17%20GMT	https://boss-bull-club.vercel.app/abs.twimg.com/responsive-web/client-web-legacy/icon-ios.b1fc7275.png	C:/Users/kikou/Desktop/nft%20mint%20solana/rabiti/boss-bull-club.vercel.app/abs.twimg.com/responsive-web/client-web-legacy/icon-ios.b1fc7275.png	(from https://boss-bull-club.vercel.app/BossBullsClub.html)
23:13:18	3620/3620	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2013%20Dec%202021%2021:13:17%20GMT	https://boss-bull-club.vercel.app/abs.twimg.com/errors/logo46x38.png	C:/Users/kikou/Desktop/nft%20mint%20solana/rabiti/boss-bull-club.vercel.app/abs.twimg.com/errors/logo46x38.png	(from https://boss-bull-club.vercel.app/BossBullsClub.html)
23:13:18	3620/3620	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2013%20Dec%202021%2021:13:18%20GMT	https://boss-bull-club.vercel.app/cdn.discordapp.com/splashes/905298246941950072/23be5e55e516f0223cb2e4ba186160b15168.jpg?size=512	C:/Users/kikou/Desktop/nft%20mint%20solana/rabiti/boss-bull-club.vercel.app/cdn.discordapp.com/splashes/905298246941950072/23be5e55e516f0223cb2e4ba186160b151685168.jpg	(from https://boss-bull-club.vercel.app/invite/zQQhHjj7Ng.html)
23:13:18	4/4	---M--	200	added ('OK')	text/css	date:Mon,%2013%20Dec%202021%2021:13:18%20GMT	https://boss-bull-club.vercel.app/assets/532.5b1bfb9075c4de3cc588.css	C:/Users/kikou/Desktop/nft%20mint%20solana/rabiti/boss-bull-club.vercel.app/assets/532.5b1bfb9075c4de3cc588.css	(from https://boss-bull-club.vercel.app/invite/zQQhHjj7Ng.html)
23:13:18	4/4	---M--	200	added ('OK')	image/vnd.microsoft.icon	date:Mon,%2013%20Dec%202021%2021:13:18%20GMT	https://boss-bull-club.vercel.app/assets/ec2c34cadd4b5f4594415127380a85e6.ico	C:/Users/kikou/Desktop/nft%20mint%20solana/rabiti/boss-bull-club.vercel.app/assets/ec2c34cadd4b5f4594415127380a85e6.ico	(from https://boss-bull-club.vercel.app/invite/zQQhHjj7Ng.html)
23:13:19	4/4	---M--	200	added ('OK')	application/javascript	date:Mon,%2013%20Dec%202021%2021:13:18%20GMT	https://boss-bull-club.vercel.app/assets/d531643866dbe609d442.js	C:/Users/kikou/Desktop/nft%20mint%20solana/rabiti/boss-bull-club.vercel.app/assets/d531643866dbe609d442.js	(from https://boss-bull-club.vercel.app/invite/zQQhHjj7Ng.html)
23:13:19	4/4	---M--	200	added ('OK')	application/javascript	date:Mon,%2013%20Dec%202021%2021:13:19%20GMT	https://boss-bull-club.vercel.app/assets/f98becd087476713d776.js	C:/Users/kikou/Desktop/nft%20mint%20solana/rabiti/boss-bull-club.vercel.app/assets/f98becd087476713d776.js	(from https://boss-bull-club.vercel.app/invite/zQQhHjj7Ng.html)
23:13:19	4/4	---M--	200	added ('OK')	application/javascript	date:Mon,%2013%20Dec%202021%2021:13:19%20GMT	https://boss-bull-club.vercel.app/assets/2c5014e714722224b706.js	C:/Users/kikou/Desktop/nft%20mint%20solana/rabiti/boss-bull-club.vercel.app/assets/2c5014e714722224b706.js	(from https://boss-bull-club.vercel.app/invite/zQQhHjj7Ng.html)
23:13:19	4/4	---M--	200	added ('OK')	application/javascript	date:Mon,%2013%20Dec%202021%2021:13:19%20GMT	https://boss-bull-club.vercel.app/assets/4ddee84308c446f983ee.js	C:/Users/kikou/Desktop/nft%20mint%20solana/rabiti/boss-bull-club.vercel.app/assets/4ddee84308c446f983ee.js	(from https://boss-bull-club.vercel.app/invite/zQQhHjj7Ng.html)
